country_name,region_name,refresh_date,week,rank,score,percent_gain,term,category,latitude,longitude
canada,alberta,10-04-2023,26-03-2023,19,25,50,blue jays,sports,53.01669802,-112.8166386
canada,british columbia,10-04-2023,26-03-2023,19,26,50,blue jays,sports,49.09996035,-116.516697
canada,prince edward island,10-04-2023,26-03-2023,19,33,50,blue jays,sports,46.24928164,-63.13132512
canada,alberta,10-04-2023,26-03-2023,14,6,130,blue jays score,sports,53.01669802,-112.8166386
canada,newfoundland and labrador,10-04-2023,26-03-2023,14,34,130,blue jays score,sports,49.17440025,-57.42691878
canada,ontario,10-04-2023,26-03-2023,14,11,130,blue jays score,sports,44.56664532,-80.84998519
canada,alberta,10-04-2023,26-03-2023,13,4,140,david suzuki,people,53.01669802,-112.8166386
canada,nova scotia,10-04-2023,26-03-2023,18,36,70,edmonton oilers,sports,45.58327578,-62.63331934
canada,alberta,10-04-2023,26-03-2023,9,43,250,epl,sports,53.01669802,-112.8166386
canada,alberta,10-04-2023,26-03-2023,11,23,160,lakers,sports,53.01669802,-112.8166386
canada,saskatchewan,10-04-2023,26-03-2023,11,26,160,lakers,sports,50.93331097,-102.7999891
canada,alberta,10-04-2023,26-03-2023,7,17,250,lotto max,entertainment,53.01669802,-112.8166386
canada,newfoundland and labrador,10-04-2023,26-03-2023,7,15,250,lotto max,entertainment,49.17440025,-57.42691878
canada,prince edward island,10-04-2023,26-03-2023,7,7,250,lotto max,entertainment,46.24928164,-63.13132512
canada,manitoba,10-04-2023,26-03-2023,21,17,40,mlb scores,sports,50.15002545,-96.88332178
canada,nova scotia,10-04-2023,26-03-2023,21,20,40,mlb scores,sports,45.58327578,-62.63331934
canada,saskatchewan,10-04-2023,26-03-2023,20,80,50,nba standings,sports,50.93331097,-102.7999891
canada,newfoundland and labrador,10-04-2023,26-03-2023,17,34,110,oilers,sports,49.17440025,-57.42691878
canada,british columbia,10-04-2023,26-03-2023,23,29,40,toronto blue jays,sports,49.09996035,-116.516697
canada,new brunswick,10-04-2023,26-03-2023,23,34,40,toronto blue jays,sports,45.26704185,-66.07667505
canada,nova scotia,10-04-2023,26-03-2023,23,37,40,toronto blue jays,sports,45.58327578,-62.63331934
canada,northwest territories,10-04-2023,26-03-2023,23,24,40,toronto blue jays,sports,62.40005292,-110.7333291
canada,newfoundland and labrador,10-04-2023,26-03-2023,10,21,180,ufc 287,sports,49.17440025,-57.42691878
canada,nova scotia,10-04-2023,26-03-2023,10,48,180,ufc 287,sports,45.58327578,-62.63331934
canada,british columbia,10-04-2023,26-03-2023,3,22,600,ufc tonight,sports,49.09996035,-116.516697
canada,nova scotia,10-04-2023,26-03-2023,3,21,600,ufc tonight,sports,45.58327578,-62.63331934
canada,prince edward island,10-04-2023,26-03-2023,3,34,600,ufc tonight,sports,46.24928164,-63.13132512
canada,british columbia,10-04-2023,26-03-2023,16,51,120,whl scores,sports,49.09996035,-116.516697
canada,saskatchewan,10-04-2023,26-03-2023,16,31,120,whl scores,sports,50.93331097,-102.7999891
canada,ontario,10-04-2023,26-03-2023,19,27,50,blue jays,sports,44.56664532,-80.84998519
canada,saskatchewan,10-04-2023,26-03-2023,1,12,800,blue jays vs angels,sports,50.93331097,-102.7999891
canada,british columbia,10-04-2023,26-03-2023,13,15,140,david suzuki,people,49.09996035,-116.516697
canada,manitoba,10-04-2023,26-03-2023,13,28,140,david suzuki,people,50.15002545,-96.88332178
