country_name,region_name,refresh_date,week,rank,score,percent_gain,term,category,Country,latitude,longitude
canada,saskatchewan,2023-04-10,2023-03-26,7,18,250,lotto max,entertainment,Canada,50.93331097,-102.7999891
canada,british columbia,2023-04-10,2023-03-26,4,23,250,lotto max winning numbers,entertainment,Canada,49.09996035,-116.516697
canada,saskatchewan,2023-04-10,2023-03-26,21,18,40,mlb scores,sports,Canada,50.93331097,-102.7999891
canada,manitoba,2023-04-10,2023-03-26,17,18,110,oilers,sports,Canada,50.15002545,-96.88332178
canada,northwest territories,2023-04-10,2023-03-26,17,37,110,oilers,sports,Canada,62.40005292,-110.7333291
canada,saskatchewan,2023-04-10,2023-03-26,17,30,110,oilers,sports,Canada,50.93331097,-102.7999891
canada,alberta,2023-04-10,2023-03-26,12,19,150,oilers game,sports,Canada,53.01669802,-112.8166386
canada,manitoba,2023-04-10,2023-03-26,12,12,150,oilers game,sports,Canada,50.15002545,-96.88332178
canada,ontario,2023-04-10,2023-03-26,5,35,250,premier league,sports,Canada,44.56664532,-80.84998519
canada,alberta,2023-04-10,2023-03-26,8,6,250,psg,sports,Canada,53.01669802,-112.8166386
canada,british columbia,2023-04-10,2023-03-26,8,6,250,psg,sports,Canada,49.09996035,-116.516697
canada,prince edward island,2023-04-10,2023-03-26,22,1,40,raptors,sports,Canada,46.24928164,-63.13132512
canada,manitoba,2023-04-10,2023-03-26,23,23,40,toronto blue jays,sports,Canada,50.15002545,-96.88332178
canada,british columbia,2023-04-10,2023-03-26,10,83,180,ufc 287,sports,Canada,49.09996035,-116.516697
canada,ontario,2023-04-10,2023-03-26,10,54,180,ufc 287,sports,Canada,44.56664532,-80.84998519
canada,saskatchewan,2023-04-10,2023-03-26,10,48,180,ufc 287,sports,Canada,50.93331097,-102.7999891
canada,alberta,2023-04-10,2023-03-26,19,25,50,blue jays,sports,Canada,53.01669802,-112.8166386
canada,british columbia,2023-04-10,2023-03-26,19,26,50,blue jays,sports,Canada,49.09996035,-116.516697
canada,prince edward island,2023-04-10,2023-03-26,19,33,50,blue jays,sports,Canada,46.24928164,-63.13132512
canada,alberta,2023-04-10,2023-03-26,14,6,130,blue jays score,sports,Canada,53.01669802,-112.8166386
canada,newfoundland and labrador,2023-04-10,2023-03-26,14,34,130,blue jays score,sports,Canada,49.17440025,-57.42691878
canada,ontario,2023-04-10,2023-03-26,14,11,130,blue jays score,sports,Canada,44.56664532,-80.84998519
canada,alberta,2023-04-10,2023-03-26,13,4,140,david suzuki,people,Canada,53.01669802,-112.8166386
canada,nova scotia,2023-04-10,2023-03-26,18,36,70,edmonton oilers,sports,Canada,45.58327578,-62.63331934
canada,alberta,2023-04-10,2023-03-26,9,43,250,epl,sports,Canada,53.01669802,-112.8166386
canada,alberta,2023-04-10,2023-03-26,11,23,160,lakers,sports,Canada,53.01669802,-112.8166386
canada,saskatchewan,2023-04-10,2023-03-26,11,26,160,lakers,sports,Canada,50.93331097,-102.7999891
canada,alberta,2023-04-10,2023-03-26,7,17,250,lotto max,entertainment,Canada,53.01669802,-112.8166386
canada,newfoundland and labrador,2023-04-10,2023-03-26,7,15,250,lotto max,entertainment,Canada,49.17440025,-57.42691878
canada,prince edward island,2023-04-10,2023-03-26,7,7,250,lotto max,entertainment,Canada,46.24928164,-63.13132512
canada,manitoba,2023-04-10,2023-03-26,21,17,40,mlb scores,sports,Canada,50.15002545,-96.88332178
canada,nova scotia,2023-04-10,2023-03-26,21,20,40,mlb scores,sports,Canada,45.58327578,-62.63331934
canada,saskatchewan,2023-04-10,2023-03-26,20,80,50,nba standings,sports,Canada,50.93331097,-102.7999891
canada,newfoundland and labrador,2023-04-10,2023-03-26,17,34,110,oilers,sports,Canada,49.17440025,-57.42691878
canada,british columbia,2023-04-10,2023-03-26,23,29,40,toronto blue jays,sports,Canada,49.09996035,-116.516697
canada,new brunswick,2023-04-10,2023-03-26,23,34,40,toronto blue jays,sports,Canada,45.26704185,-66.07667505
canada,nova scotia,2023-04-10,2023-03-26,23,37,40,toronto blue jays,sports,Canada,45.58327578,-62.63331934
canada,northwest territories,2023-04-10,2023-03-26,23,24,40,toronto blue jays,sports,Canada,62.40005292,-110.7333291
canada,newfoundland and labrador,2023-04-10,2023-03-26,10,21,180,ufc 287,sports,Canada,49.17440025,-57.42691878
canada,nova scotia,2023-04-10,2023-03-26,10,48,180,ufc 287,sports,Canada,45.58327578,-62.63331934
canada,british columbia,2023-04-10,2023-03-26,3,22,600,ufc tonight,sports,Canada,49.09996035,-116.516697
canada,nova scotia,2023-04-10,2023-03-26,3,21,600,ufc tonight,sports,Canada,45.58327578,-62.63331934
canada,prince edward island,2023-04-10,2023-03-26,3,34,600,ufc tonight,sports,Canada,46.24928164,-63.13132512
canada,british columbia,2023-04-10,2023-03-26,16,51,120,whl scores,sports,Canada,49.09996035,-116.516697
canada,saskatchewan,2023-04-10,2023-03-26,16,31,120,whl scores,sports,Canada,50.93331097,-102.7999891
canada,ontario,2023-04-10,2023-03-26,19,27,50,blue jays,sports,Canada,44.56664532,-80.84998519
canada,saskatchewan,2023-04-10,2023-03-26,1,12,800,blue jays vs angels,sports,Canada,50.93331097,-102.7999891
canada,british columbia,2023-04-10,2023-03-26,13,15,140,david suzuki,people,Canada,49.09996035,-116.516697
canada,manitoba,2023-04-10,2023-03-26,13,28,140,david suzuki,people,Canada,50.15002545,-96.88332178
canada,alberta,2023-04-10,2023-03-26,18,21,70,edmonton oilers,sports,Canada,53.01669802,-112.8166386
canada,british columbia,2023-04-10,2023-03-26,18,36,70,edmonton oilers,sports,Canada,49.09996035,-116.516697
canada,manitoba,2023-04-10,2023-03-26,18,21,70,edmonton oilers,sports,Canada,50.15002545,-96.88332178
canada,new brunswick,2023-04-10,2023-03-26,18,8,70,edmonton oilers,sports,Canada,45.26704185,-66.07667505
canada,newfoundland and labrador,2023-04-10,2023-03-26,18,24,70,edmonton oilers,sports,Canada,49.17440025,-57.42691878
canada,northwest territories,2023-04-10,2023-03-26,18,22,70,edmonton oilers,sports,Canada,62.40005292,-110.7333291
canada,ontario,2023-04-10,2023-03-26,18,23,70,edmonton oilers,sports,Canada,44.56664532,-80.84998519
canada,saskatchewan,2023-04-10,2023-03-26,18,41,70,edmonton oilers,sports,Canada,50.93331097,-102.7999891
canada,ontario,2023-04-10,2023-03-26,9,29,250,epl,sports,Canada,44.56664532,-80.84998519
canada,alberta,2023-04-10,2023-03-26,4,15,250,lotto max winning numbers,entertainment,Canada,53.01669802,-112.8166386
canada,manitoba,2023-04-10,2023-03-26,4,52,250,lotto max winning numbers,entertainment,Canada,50.15002545,-96.88332178
canada,nova scotia,2023-04-10,2023-03-26,4,10,250,lotto max winning numbers,entertainment,Canada,45.58327578,-62.63331934
canada,british columbia,2023-04-10,2023-03-26,21,17,40,mlb scores,sports,Canada,49.09996035,-116.516697
canada,new brunswick,2023-04-10,2023-03-26,21,10,40,mlb scores,sports,Canada,45.26704185,-66.07667505
canada,newfoundland and labrador,2023-04-10,2023-03-26,21,13,40,mlb scores,sports,Canada,49.17440025,-57.42691878
canada,prince edward island,2023-04-10,2023-03-26,21,13,40,mlb scores,sports,Canada,46.24928164,-63.13132512
canada,british columbia,2023-04-10,2023-03-26,20,85,50,nba standings,sports,Canada,49.09996035,-116.516697
canada,new brunswick,2023-04-10,2023-03-26,20,61,50,nba standings,sports,Canada,45.26704185,-66.07667505
canada,nova scotia,2023-04-10,2023-03-26,17,32,110,oilers,sports,Canada,45.58327578,-62.63331934
canada,ontario,2023-04-10,2023-03-26,17,21,110,oilers,sports,Canada,44.56664532,-80.84998519
canada,ontario,2023-04-10,2023-03-26,12,10,150,oilers game,sports,Canada,44.56664532,-80.84998519
canada,saskatchewan,2023-04-10,2023-03-26,12,21,150,oilers game,sports,Canada,50.93331097,-102.7999891
canada,british columbia,2023-04-10,2023-03-26,5,27,250,premier league,sports,Canada,49.09996035,-116.516697
